Experiment,Model,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy
it8_star_wofeat_imblearn_6,SGDClassifier1,0.826,0.787,0.803,0.854,0.859,0.855,0.859
it6_star_wofeat_imblearn_6,SGDClassifier1,0.815,0.787,0.799,0.849,0.854,0.85,0.854
it8_star_wofeat_imblearn_6,HistGradientBoostingClassifier,0.794,0.804,0.799,0.848,0.845,0.846,0.845
it8_star_wofeat_imblearn_6,LogisticRegression,0.788,0.805,0.796,0.846,0.84,0.843,0.84
it5_star_wofeat_imblearn_5,SGDClassifier1,0.805,0.785,0.794,0.845,0.849,0.846,0.849
it6_star_wofeat_imblearn_6,HistGradientBoostingClassifier,0.787,0.794,0.79,0.841,0.839,0.84,0.839
it6_star_wofeat_imblearn_6,LogisticRegression,0.778,0.805,0.789,0.843,0.832,0.836,0.832
it5_star_wofeat_imblearn_5,HistGradientBoostingClassifier,0.784,0.791,0.787,0.839,0.837,0.838,0.837
it5_star_wofeat_imblearn_5,LogisticRegression,0.761,0.799,0.775,0.835,0.815,0.822,0.815
it5_star_wofeat_imblearn_5,KNeighbors,0.792,0.755,0.77,0.829,0.836,0.831,0.836
it8_star_wofeat_imblearn_6,KNeighbors,0.815,0.744,0.769,0.836,0.843,0.833,0.843
it6_star_wofeat_imblearn_6,KNeighbors,0.816,0.738,0.764,0.835,0.841,0.83,0.841
it5_clique_wofeat_imblearn_5,HistGradientBoostingClassifier,0.763,0.764,0.763,0.82,0.82,0.82,0.82
it5_clique_wofeat_woimblearn_5,HistGradientBoostingClassifier,0.803,0.74,0.762,0.829,0.837,0.828,0.837
it5_clique_wofeat_imblearn_5,SGDClassifier1,0.777,0.751,0.762,0.821,0.828,0.823,0.828
it5_clique_wofeat_woimblearn_5,LogisticRegression,0.745,0.77,0.755,0.817,0.804,0.809,0.804
it5_clique_wofeat_imblearn_5,LogisticRegression,0.744,0.77,0.754,0.817,0.803,0.808,0.803
it3_star_wofeat_woimblearn_7,SGDClassifier1,0.746,0.747,0.747,0.808,0.807,0.807,0.807
it5_clique_wofeat_woimblearn_5,KNeighbors,0.761,0.726,0.74,0.806,0.815,0.808,0.815
it5_clique_wofeat_imblearn_5,KNeighbors,0.761,0.726,0.74,0.806,0.815,0.808,0.815
it3_star_wofeat_woimblearn_7,KNeighbors,0.766,0.722,0.738,0.807,0.817,0.809,0.817
it3_star_wofeat_woimblearn_7,HistGradientBoostingClassifier,0.733,0.732,0.733,0.797,0.797,0.797,0.797
it3_clique_wofeat_woimblearn_7,HistGradientBoostingClassifier,0.73,0.734,0.732,0.797,0.795,0.796,0.795
it5_clique_wofeat_woimblearn_5,SGDClassifier1,0.81,0.701,0.73,0.822,0.827,0.81,0.827
it3_star_wofeat_woimblearn_7,LogisticRegression,0.716,0.763,0.727,0.807,0.767,0.779,0.767
it3_clique_wofeat_woimblearn_7,KNeighbors,0.755,0.708,0.725,0.798,0.809,0.8,0.809
it3_clique_wofeat_woimblearn_7,SGDClassifier1,0.72,0.71,0.715,0.784,0.788,0.786,0.788
it8_star_wofeat_imblearn_6,DecisionTree,0.688,0.716,0.698,0.776,0.752,0.761,0.752
it3_clique_wofeat_woimblearn_7,LogisticRegression,0.686,0.723,0.695,0.779,0.742,0.754,0.742
it6_star_wofeat_imblearn_6,DecisionTree,0.675,0.701,0.683,0.764,0.74,0.749,0.74
it5_star_wofeat_imblearn_5,DecisionTree,0.67,0.698,0.678,0.762,0.734,0.744,0.734
it5_clique_wofeat_woimblearn_5,DecisionTree,0.669,0.672,0.671,0.75,0.748,0.749,0.748
it5_clique_wofeat_imblearn_5,DecisionTree,0.652,0.678,0.659,0.748,0.717,0.728,0.717
it3_clique_wofeat_woimblearn_7,DecisionTree,0.62,0.641,0.625,0.721,0.689,0.701,0.689
it3_star_wofeat_woimblearn_7,DecisionTree,0.616,0.637,0.62,0.718,0.683,0.696,0.683
